dim1,dim2,herb_name
10.44031,-13.87568,蛇床子
13.467925,-12.128118,射干
9.347855,-14.476842,伸筋草
10.880654,-15.619564,升麻
10.665918,-15.840406,生姜
13.473743,-12.4547205,十大功劳根
13.970625,-11.82804,十大功劳叶
10.983794,-14.791393,石菖蒲
11.801944,-12.212488,石见穿
8.600881,-10.304772,石榴皮
10.137849,-9.828912,石上柏
12.598386,-11.545418,石韦
8.810145,-10.990149,使君子
11.487503,-11.478006,柿蒂
8.778417,-9.22376,熟地黄
10.8360615,-8.140807,鼠曲草
10.101364,-11.025441,水飞蓟
12.336486,-9.484445,水红花子
10.692219,-10.280241,四季青
8.785723,-9.932647,松花粉
9.247411,-13.246539,油松节
8.384662,-10.367058,松子仁
9.374109,-14.841062,苏合香
10.618147,-9.006303,酸枣仁
8.703434,-9.742487,娑罗子
10.442022,-7.669634,太子参
10.317433,-15.795511,檀香
10.704354,-9.20935,桃仁
13.516702,-10.725232,天冬
11.804693,-7.4401493,天花粉
13.836046,-10.949262,天葵子
10.001152,-13.98395,天南星
11.427618,-11.086445,天山雪莲
11.45472,-11.124126,天仙藤
9.549937,-13.923528,天仙子
13.055037,-8.902887,天竺黄
12.305024,-7.6251254,甜瓜子
10.219221,-14.6077,铁丝威灵仙
10.275105,-14.592484,铁线透骨草
12.158228,-12.317146,葶苈子
11.733137,-7.4480085,通草
12.637108,-11.865658,土贝母
11.230037,-8.464279,土茯苓
10.291109,-15.223883,土荆皮
9.813582,-8.667599,菟丝子
11.905483,-9.063127,瓦楞子
9.884877,-11.656331,瓦松
11.1295805,-11.653534,王不留行
10.2477455,-14.611258,威灵仙
15.071895,-11.499179,委陵菜
13.932988,-12.740967,乌敛莓
11.786576,-10.170786,乌梅
10.156576,-15.408857,乌药
13.026842,-12.612913,无患子
11.6245575,-11.434977,无患子皮
7.993427,-14.044189,吴茱萸
10.212965,-7.47355,梧桐子
12.003157,-10.17756,五倍子
11.289133,-7.2245297,西河柳
10.610685,-8.983329,西红花
9.0156975,-7.827504,西洋参
12.838967,-12.967986,豨莶草
9.958678,-14.858259,细辛
14.593266,-12.383353,夏枯草
9.854866,-12.618066,夏天无
10.569512,-11.006267,仙鹤草
8.000499,-14.050013,仙茅
11.487807,-8.305736,仙桃草
11.587502,-12.122995,相思子
10.873865,-12.812323,香附
9.221343,-13.233871,香加皮
8.310748,-10.675256,香茅
10.5931425,-15.655858,香薷
9.985388,-14.002258,香橼
9.587198,-15.278596,小茴香
9.792058,-10.271618,小蓟
12.141261,-7.3621316,小通草
11.035234,-14.9777355,薤白
10.40366,-15.407659,辛夷
9.298587,-14.158131,徐长卿
9.40537,-13.012574,续断
9.453978,-9.61973,萱草根
13.381125,-10.449429,玄参
10.935486,-15.496971,旋覆花
10.874471,-12.324653,寻骨风
15.11338,-11.41211,鸦胆子
12.141802,-7.241605,鸭跖草
11.051906,-8.319257,亚麻子
9.780595,-13.566333,延胡索
10.156948,-14.565956,洋金花
10.628131,-11.898382,野菊花
12.035477,-12.609547,一枝黄花
12.783209,-11.440923,伊贝母
10.786777,-12.088594,益母草
9.701846,-15.1432085,益智
9.346111,-10.562307,薏苡仁
10.231292,-13.056762,茵陈
9.2238,-9.408984,银柴胡
12.775787,-11.264656,银杏叶
8.102994,-9.664056,淫羊藿
11.8438425,-10.07706,罂粟壳
11.594272,-7.6248617,余甘子
11.906987,-12.961319,鱼腥草
13.5759735,-12.652113,禹州漏芦
10.5291605,-8.492878,玉米须
11.775499,-7.455882,玉竹
14.143824,-12.206132,郁金
11.233916,-9.196634,郁李仁
14.795016,-12.220841,预知子
10.514867,-14.89337,芫花
10.000652,-14.470254,芫荽
8.4163685,-9.7169285,月季花
10.084224,-8.579339,云芝
10.584806,-15.0711355,皂荚子
9.31539,-14.133973,皂角刺
10.38408,-12.966664,泽兰
12.218724,-12.594217,泽漆
12.613816,-8.6164665,泽泻
13.367934,-11.920632,浙贝母
13.497101,-10.54443,知母
13.35132,-11.908138,栀子
11.179794,-8.5101185,枳椇子
11.48797,-13.611013,枳壳
11.444733,-13.605672,枳实
10.674438,-12.166849,肿节风
10.748127,-8.1953335,猪苓
10.723221,-14.972489,猪牙皂
9.320537,-8.049712,竹节参
14.165308,-11.259389,竹沥
13.023241,-8.901619,苎麻根
12.980149,-9.053461,紫草
14.243297,-12.366345,紫花地丁
12.174898,-12.516903,紫花前胡
10.338855,-15.465869,紫苏叶
10.375145,-15.040544,紫苏子
10.6762085,-14.684092,紫菀
9.343939,-10.624332,葛根
9.725975,-9.83135,人工牛黄
9.223203,-14.127782,九里香
7.5445375,-9.457721,九香虫
15.155481,-11.315659,三颗针
8.168732,-14.338992,炮姜
9.542137,-13.793557,干漆
9.846277,-13.506653,土木香
12.730749,-9.404768,土鳖虫（䗪虫）
10.94227,-12.192644,大叶紫珠
11.068953,-7.5840464,大豆黄卷
12.834716,-9.207299,大青盐
10.272323,-10.800281,大蓟炭
11.704386,-7.3073235,山麦冬
13.999798,-11.784334,山香圆叶
12.051825,-7.283234,山银花
9.187116,-9.806807,山楂
13.904947,-11.793357,千里光
9.055576,-13.344542,千金子霜
11.191025,-15.117363,川木香
8.020581,-13.907332,制川乌
12.293493,-11.027227,广东紫珠
9.38935,-9.634877,广金钱草
11.043864,-8.782914,小叶莲
9.110459,-13.297241,小驳骨
11.98081,-12.281825,飞扬草
9.769436,-12.910931,马钱子粉
10.004954,-14.008054,制天南星
10.805705,-8.955104,天麻
