,人参,白术,茯苓,甘草,薏苡仁,桔梗,白扁豆,山药,大枣,黄芪,炙甘草,当归,陈皮,升麻,柴胡,防风,麦冬,五味子,白芍,车前子,苍术,熟地黄,生姜,桂枝,阿胶,火麻仁,泽泻,牡丹皮,枸杞子,菟丝子,鹿角胶,牛膝,黄柏,知母,北沙参,川楝子,山茱萸,附子,肉桂,杜仲,肉苁蓉,巴戟天,石斛,薄荷,莲子,砂仁,荆芥炭,地黄,龟甲胶,龟甲,石菖蒲,何首乌,补骨脂,龙眼肉,酸枣仁,木香,远志
柴胡,2.422,2.798,2.979,3.66,3.458,0.562,3.095,3.316,2.997,2.69,3.519,1.966,1.571,3.542,0,1.593,3.449,1.921,3.568,2.612,2.281,1.48,2.054,1.965,2.149,3.869,3.215,2.95,1.637,1.672,1.631,1.84,3.524,3.361,3.287,3.452,1.635,2.224,1.934,1.504,1.924,1.238,3.047,0.305,2.953,2.547,0.526,2.598,2.422,2.591,2.175,2,1.952,2.436,1.901,2.329,1.733
防风,1.143,1.753,1.409,2.073,1.89,1.217,1.648,1.747,1.448,1.255,1.926,0.384,1.402,2.178,1.593,0,2.365,0.642,3.175,2.156,1.977,2.342,1.572,0.551,1.585,2.284,2.608,2.794,1.349,0.911,2.176,1.792,2.959,2.461,2.245,2.995,2.445,0.761,0.861,2.032,2.292,1.752,2.298,1.301,1.421,2.074,1.112,2.398,2.599,2.541,1.478,2.61,1.765,0.881,1.755,1.918,1.054
麦冬,3.049,3.69,1.721,2.024,2.584,3.361,2.988,1.715,2.54,2.839,2.196,2.109,3.766,0.787,3.449,2.365,0,2.813,1.606,1.3,4.286,3.068,3.875,2.642,1.398,2.056,1.021,1.833,1.889,1.785,2.663,1.967,1.215,0.421,0.174,1.413,3.045,1.664,1.586,2.624,2.469,2.602,0.749,3.167,1.495,4.318,2.949,1.69,2.279,1.935,3.719,2.861,4.112,2.391,1.855,4.202,3.38
五味子,0.535,1.112,1.472,2.005,1.61,1.415,1.174,1.78,1.138,0.771,1.791,0.714,1.087,2.467,1.921,0.642,2.813,0,3.779,2.774,1.477,2.915,1.068,0.174,2.208,2.222,3.188,3.427,1.991,1.548,2.787,2.433,3.539,2.973,2.717,3.592,3.03,1.15,1.45,2.639,2.922,2.347,2.86,1.674,1.579,1.512,1.54,3.033,3.241,3.181,0.909,3.225,1.341,0.655,2.397,1.389,0.616
白芍,4.169,4.829,3.133,3.577,4.048,3.733,4.316,3.222,3.893,4.069,3.709,3.091,4.474,2.387,3.568,3.175,1.606,3.779,0,1.032,5.13,2.533,4.736,3.635,1.605,3.636,0.649,0.697,2.013,2.291,2.145,1.728,0.396,1.188,1.526,0.205,2.433,2.729,2.329,2.203,1.835,2.374,1.016,3.372,2.908,5.248,3.204,0.975,1.374,1.052,4.653,2.079,4.881,3.577,1.674,5.084,4.216
车前子,3.193,3.849,2.343,2.906,3.254,2.723,3.42,2.512,3.024,3.134,2.978,2.108,3.442,1.914,2.612,2.156,1.3,2.774,1.032,0,4.101,1.85,3.708,2.638,0.575,3.014,0.611,0.715,1,1.262,1.434,0.815,0.914,0.977,1.138,0.873,1.8,1.792,1.331,1.431,1.195,1.505,0.583,2.389,2.136,4.224,2.207,0.416,0.984,0.664,3.633,1.572,3.848,2.64,0.727,4.057,3.189
苍术,1.424,1.135,2.876,3.27,2.678,1.756,2.017,3.145,2.279,1.793,3.01,2.177,0.733,3.93,2.281,1.977,4.286,1.477,5.13,4.101,0,3.692,0.411,1.65,3.526,3.473,4.581,4.686,3.183,2.839,3.716,3.586,4.932,4.425,4.184,4.957,3.837,2.622,2.837,3.568,3.94,3.259,4.275,2.211,3.019,0.31,2.231,4.288,4.358,4.388,0.606,4.142,0.33,2.027,3.584,0.147,0.923
熟地黄,3.449,3.976,3.389,4.082,4.135,1.941,3.988,3.68,3.74,3.597,4.036,2.587,2.96,3.483,1.48,2.342,3.068,2.915,2.533,1.85,3.692,0,3.404,2.876,1.699,4.255,2.423,1.839,1.322,1.746,0.416,1.103,2.636,2.811,2.895,2.486,0.156,2.59,2.068,0.449,0.701,0.612,2.423,1.482,3.264,3.929,1.478,1.614,1.178,1.483,3.464,0.558,3.37,3.193,1.215,3.717,2.98
生姜,1.069,0.946,2.487,2.914,2.357,1.502,1.721,2.766,1.934,1.45,2.662,1.766,0.495,3.527,2.054,1.572,3.875,1.068,4.736,3.708,0.411,3.404,0,1.241,3.133,3.122,4.179,4.307,2.808,2.447,3.396,3.222,4.531,4.015,3.773,4.56,3.544,2.211,2.433,3.246,3.603,2.937,3.87,1.94,2.622,0.537,1.928,3.908,4.005,4.018,0.262,3.828,0.35,1.637,3.213,0.349,0.52
桂枝,0.593,1.22,1.31,1.867,1.516,1.485,1.146,1.625,1.045,0.741,1.663,0.553,1.248,2.294,1.965,0.551,2.642,0.174,3.635,2.638,1.65,2.876,1.241,0,2.078,2.084,3.038,3.302,1.891,1.432,2.724,2.335,3.387,2.809,2.549,3.446,2.985,0.982,1.309,2.579,2.843,2.295,2.704,1.702,1.411,1.678,1.55,2.91,3.142,3.067,1.077,3.16,1.514,0.52,2.292,1.56,0.785
阿胶,2.644,3.295,1.948,2.579,2.829,2.195,2.923,2.171,2.55,2.612,2.606,1.561,2.872,1.795,2.149,1.585,1.398,2.208,1.605,0.575,3.526,1.699,3.133,2.078,0,2.718,1.105,1.227,0.516,0.687,1.313,0.608,1.444,1.226,1.225,1.438,1.699,1.292,0.782,1.25,1.192,1.205,0.898,1.899,1.766,3.65,1.7,0.845,1.226,1.036,3.06,1.6,3.276,2.122,0.496,3.482,2.614
火麻仁,2.055,2.472,0.897,0.217,0.866,3.489,1.532,0.578,1.195,1.68,0.464,1.904,3.291,1.273,3.869,2.284,2.056,2.222,3.636,3.014,3.473,4.255,3.122,2.084,2.718,0,3.005,3.7,2.945,2.514,3.94,3.285,3.256,2.456,2.112,3.435,4.303,1.701,2.188,3.835,3.89,3.653,2.657,3.569,0.991,3.357,3.364,3.425,3.926,3.665,2.877,4.293,3.458,1.567,3.186,3.342,2.806
泽泻,3.554,4.215,2.484,2.938,3.399,3.298,3.674,2.577,3.247,3.437,3.063,2.487,3.954,1.778,3.215,2.608,1.021,3.188,0.649,0.611,4.581,2.423,4.179,3.038,1.105,3.005,0,0.843,1.588,1.766,2.008,1.424,0.351,0.604,0.912,0.444,2.357,2.105,1.749,2.022,1.74,2.114,0.367,2.984,2.259,4.679,2.794,0.832,1.407,1.04,4.078,2.079,4.349,2.947,1.338,4.526,3.66
牡丹皮,3.871,4.52,3.055,3.603,3.968,3.174,4.129,3.214,3.737,3.833,3.686,2.788,3.996,2.541,2.95,2.794,1.833,3.427,0.697,0.715,4.686,1.839,4.307,3.302,1.227,3.7,0.843,0,1.504,1.883,1.459,1.137,0.889,1.432,1.699,0.688,1.736,2.496,2.009,1.527,1.144,1.726,1.092,2.781,2.846,4.834,2.634,0.399,0.677,0.368,4.255,1.384,4.414,3.34,1.114,4.655,3.794
枸杞子,2.481,3.102,2.098,2.78,2.907,1.724,2.879,2.373,2.56,2.525,2.756,1.451,2.493,2.187,1.637,1.349,1.889,1.991,2.013,1,3.183,1.322,2.808,1.891,0.516,2.945,1.588,1.504,0,0.492,0.997,0.444,1.911,1.742,1.718,1.869,1.36,1.328,0.779,0.891,1.002,0.753,1.412,1.396,1.957,3.339,1.208,1.107,1.251,1.211,2.771,1.379,2.91,2.06,0.409,3.156,2.3
菟丝子,2.016,2.651,1.643,2.337,2.422,1.593,2.388,1.937,2.069,2.039,2.293,0.964,2.19,1.906,1.672,0.911,1.785,1.548,2.291,1.262,2.839,1.746,2.447,1.432,0.687,2.514,1.766,1.883,0.492,0,1.464,0.927,2.113,1.751,1.63,2.121,1.806,0.85,0.327,1.342,1.493,1.14,1.501,1.384,1.523,2.965,1.164,1.486,1.724,1.635,2.378,1.863,2.591,1.569,0.87,2.796,1.928
