,白扁豆,白芍,白术,白头翁,白芷,板蓝根,半夏,薄荷,鳖甲,槟榔,柴胡,陈皮,赤芍,川贝母,川芎,大黄,丹参,淡竹叶,当归,地骨皮,地黄,防风,蜂蜜,茯苓,甘草,葛根,厚朴,胡黄连,滑石粉,黄柏,黄连,黄芪,黄芩,僵蚕,金银花,荆芥炭,桔梗,连翘,龙胆,麻黄,马勃,麦冬,芒硝,没药,牡丹皮,木通,木香,牛蒡子,牛膝,秦艽,秦皮,青蒿,人参,肉桂,乳香,桑白皮,升麻,石膏,石斛,熟地黄,水牛角,天花粉,吴茱萸,西洋参,香薷,玄参,银柴胡,皂角刺,泽泻,知母,栀子,炙甘草,猪苓
木香,1.27,4.157,1.042,4.885,0.446,4.859,0.555,1.382,3.429,0.239,3.692,0.587,3.847,4.894,1.714,4.956,4.436,4.554,1.702,3.127,3.243,1.361,2.431,2.916,2.916,1.846,0.148,4.487,4.031,3.977,5.03,1.487,5.106,1.547,4.303,1.06,1.856,4.995,3.677,0.782,1.364,4.785,4.563,2.475,4.105,5.036,0,4.214,2.82,2.9,3.972,3.487,1.799,2.244,1.937,4.197,2.289,4.08,3.863,2.645,4.423,4.438,2.465,5.026,0.96,4.375,3.624,1.238,3.602,4.26,4.569,2.936,3.171
牛蒡子,3.177,1.571,3.387,1.343,4.308,1.04,3.666,3.935,0.998,4.391,2.259,3.697,1.473,0.891,2.852,1.99,2.04,1.453,2.615,1.141,0.972,2.883,2.729,2.377,2.634,2.558,4.121,1.532,1.443,0.89,1.794,3.055,1.465,3.753,1.652,3.667,3.946,0.858,1.862,4.032,4.053,0.592,1.363,2.934,2.182,1.003,4.214,0,1.4,2.661,1.796,2.089,2.915,2.251,2.779,1.178,2.262,1.229,0.791,1.575,1.912,0.895,2.513,0.929,3.854,0.592,0.751,3.351,1.259,0.639,0.471,2.633,1.477
牛膝,1.871,1.766,2.057,2.217,2.908,2.105,2.277,2.604,0.719,2.993,1.891,2.297,1.462,2.163,1.519,2.536,2.222,2.163,1.23,0.502,0.431,1.483,1.828,1.738,1.981,1.312,2.724,1.995,1.776,1.291,2.497,1.796,2.424,2.448,2.096,2.293,2.693,2.179,1.588,2.644,2.719,1.983,1.98,1.87,2.095,2.24,2.82,1.4,0,1.79,1.758,1.628,1.748,0.982,1.503,1.76,1.194,1.692,1.26,0.278,2.142,1.825,1.423,2.265,2.477,1.667,0.949,1.981,1.287,1.582,1.752,1.992,1.031
秦艽,2.707,1.624,2.754,2.524,2.709,2.684,2.555,1.844,1.683,2.943,0.869,2.331,1.42,3.552,1.237,2.291,1.697,3.853,1.492,2.273,2.026,1.829,3.314,3.405,3.613,2.499,2.756,1.972,3.535,1.899,2.463,2.785,2.735,1.607,3.85,1.889,1.599,3.067,1.052,2.282,1.952,3.2,2.141,0.47,1.304,2.979,2.9,2.661,1.79,0,1.337,0.772,2.937,1.042,0.998,3.461,2.675,3.418,2.925,1.955,1.732,3.408,0.521,3.578,2.053,3.163,2.609,1.662,3.061,3.13,2.734,3.628,2.818
秦皮,3.406,0.31,3.532,1.213,3.873,1.437,3.523,3.125,1.152,4.066,0.559,3.385,0.345,2.627,2.267,0.994,0.487,3.218,2.311,2.042,1.687,2.683,3.585,3.471,3.723,2.972,3.838,0.64,3.071,0.906,1.131,3.401,1.413,2.893,3.343,3.07,2.928,1.899,0.303,3.477,3.239,2.198,0.83,1.784,0.393,1.758,3.972,1.796,1.758,1.337,0,0.565,3.433,1.746,2.065,2.884,2.942,2.892,2.371,2.031,0.452,2.679,1.56,2.594,3.253,2.383,2.117,2.789,2.697,2.406,1.67,3.732,2.643
青蒿,3.046,0.854,3.145,1.759,3.358,1.943,3.07,2.573,1.22,3.565,0.267,2.902,0.689,2.967,1.773,1.538,0.964,3.423,1.882,2.022,1.699,2.254,3.394,3.363,3.601,2.688,3.349,1.2,3.192,1.238,1.695,3.071,1.967,2.339,3.489,2.545,2.364,2.363,0.286,2.95,2.686,2.573,1.375,1.221,0.62,2.251,3.487,2.089,1.628,0.772,0.565,0,3.149,1.322,1.556,3.055,2.738,3.039,2.519,1.871,0.979,2.921,1.033,2.965,2.724,2.646,2.227,2.277,2.763,2.64,2.071,3.612,2.62
人参,0.543,3.49,0.758,3.952,2.132,3.802,1.323,2.51,2.467,2.036,3.412,1.597,3.175,3.396,1.866,4.278,3.916,2.867,1.485,1.783,2.052,1.26,0.642,1.119,1.126,0.463,1.791,3.74,2.334,3.035,4.245,0.321,4.151,2.508,2.573,2.04,2.869,3.769,3.206,2.148,2.578,3.409,3.729,2.725,3.717,3.881,1.799,2.915,1.748,2.937,3.433,3.149,0,1.905,2.062,2.554,0.658,2.426,2.346,1.476,3.851,2.869,2.419,3.558,2.13,2.888,2.197,1.88,1.976,2.755,3.355,1.146,1.563
肉桂,1.734,1.915,1.824,2.662,2.201,2.679,1.778,1.684,1.301,2.359,1.567,1.661,1.603,3.088,0.616,2.718,2.224,3.144,0.566,1.478,1.362,0.939,2.274,2.395,2.59,1.46,2.117,2.243,2.74,1.787,2.786,1.78,2.885,1.503,3.061,1.459,1.72,2.904,1.463,1.853,1.803,2.842,2.326,0.949,1.935,2.899,2.244,2.251,0.982,1.042,1.746,1.322,1.905,0,0.532,2.741,1.642,2.669,2.24,1.04,2.197,2.797,0.544,3.167,1.65,2.616,1.926,1.146,2.245,2.543,2.498,2.606,1.924
乳香,1.753,2.283,1.774,3.096,1.808,3.149,1.56,1.167,1.813,2.009,1.755,1.355,1.993,3.62,0.239,3.059,2.514,3.657,0.58,1.99,1.893,0.856,2.539,2.748,2.913,1.671,1.797,2.628,3.235,2.264,3.165,1.862,3.318,0.974,3.555,1.01,1.191,3.407,1.764,1.417,1.287,3.368,2.74,0.672,2.171,3.387,1.937,2.779,1.503,0.998,2.065,1.556,2.062,0.532,0,3.254,1.958,3.177,2.763,1.524,2.512,3.325,0.528,3.697,1.197,3.148,2.451,0.724,2.739,3.073,3.008,2.931,2.391
桑白皮,2.979,2.701,3.214,2.504,4.406,2.17,3.648,4.304,1.837,4.411,3.271,3.785,2.542,0.986,3.242,3.168,3.188,0.403,2.891,1.264,1.437,3.033,2.132,1.643,1.853,2.359,4.14,2.703,0.325,1.998,2.966,2.797,2.6,4.171,0.473,3.937,4.439,1.816,2.881,4.235,4.413,1.25,2.541,3.613,3.277,2.033,4.197,1.178,1.76,3.461,2.884,3.055,2.554,2.741,3.254,0,1.935,0.132,0.54,1.746,3.064,0.422,3.165,1.178,4.105,0.659,0.852,3.642,0.595,0.555,1.576,1.845,1.027
升麻,1.045,2.96,1.281,3.346,2.549,3.173,1.754,2.694,1.895,2.513,3.006,1.949,2.655,2.744,1.82,3.723,3.413,2.274,1.403,1.14,1.436,1.343,0.656,0.798,0.957,0.449,2.248,3.18,1.746,2.445,3.666,0.863,3.537,2.633,2.015,2.252,2.971,3.118,2.748,2.462,2.783,2.751,3.147,2.564,3.261,3.237,2.289,2.262,1.194,2.675,2.942,2.738,0.658,1.642,1.958,1.935,0,1.812,1.692,0.916,3.335,2.228,2.185,2.903,2.386,2.233,1.539,2.016,1.345,2.102,2.708,0.974,0.921
石膏,2.856,2.721,3.091,2.566,4.295,2.241,3.532,4.212,1.819,4.295,3.261,3.675,2.548,1.109,3.157,3.216,3.212,0.49,2.799,1.191,1.392,2.93,2,1.511,1.722,2.239,4.025,2.739,0.221,2.018,3.023,2.672,2.671,4.084,0.453,3.839,4.358,1.908,2.875,4.131,4.321,1.351,2.585,3.554,3.284,2.119,4.08,1.229,1.692,3.418,2.892,3.039,2.426,2.669,3.177,0.132,1.812,0,0.523,1.661,3.089,0.54,3.106,1.3,4.005,0.748,0.817,3.547,0.48,0.631,1.646,1.715,0.91
